Ef and Ep,"d","M","no.val","ruo","term3","R","chi.square","Ef","Ep"
"SiO2",2.32,60.0843,16,3.72047082276069e+23,49508443045175272,13.6,0.270282849085873,18.8626274200168,22.6470059714861
"Ge",5.323,72.64,4,1.76519042620595e+23,30116768844175784,13.6,0.34654044982299,11.4744345582449,15.5993903149781
"Si",2.33,28.0855,4,1.99841045792313e+23,32714262130328044,13.6,0.332498398608854,12.4640748108777,16.5979399870599
"GaAs",5.31,144.6446,8,1.76861467641378e+23,30155704790039968,13.6,0.346316657368449,11.4892690833260,15.6145134242544
"LaBr3",5.29,378.6175,24,2.01937591222804e+23,32942668886579836,13.6,0.3313437110585,12.5510973726549,16.6847778607056
"CsI",4.51,259.80992,8,8.36299314914535e+22,18302980938362092,13.6,0.444526042247841,6.97340269418224,10.7372413102622
"BaF2",4.89,175.3238064,16,2.68744071319684e+23,39857182467708552,13.6,0.301234580181904,15.1855145639301,19.2478085026958
"CaF2",3.186,78.0748064,16,3.93193001768109e+23,51367037547505072,13.6,0.265348026982779,19.5707485699861,23.2817023624410
"NaI",3.667,149.894244,8,1.17860120884162e+23,23006925607258212,13.6,0.396486887014177,8.76559712075306,12.7466271999874
"SiGe",3.827,100.7255,8,1.83045880180093e+23,30854651052524076,13.6,0.342371655650284,11.7555663474880,15.8851683725526
"CZT",5.81,305.42,30,3.43677306198022e+23,46958538356270080,13.6,0.277524185902678,17.8911183370209,21.766433329164
"SrI2",4.549,341.42894,16,1.28376795587158e+23,24355947025014688,13.6,0.385350220838080,9.27957184545899,13.3031690108742
"YAG",4.56,593.61804,96,4.44099134097744e+23,55710101664593728,13.6,0.254795144197279,21.2254481578349,24.7429687314247
"YAP",5.5,163.885588,24,4.85047319475096e+23,59084024922210720,13.6,0.247413325252024,22.5109068278659,25.8585338687884
Ef and Ep,"d","M","no.val","ruo","term3","R","chi.square","Ef","Ep"
"SiO2",2.32,60.0843,16,3.72047082276069e+23,49508443045175264,13.6,0.270282849085873,18.8626274200168,22.6470059714861
"Ge",5.323,72.64,4,1.76519042620595e+23,30116768844175784,13.6,0.34654044982299,11.4744345582449,15.5993903149781
"Si",2.33,28.0855,4,1.99841045792313e+23,32714262130328044,13.6,0.332498398608854,12.4640748108777,16.5979399870599
"GaAs",5.31,144.6446,8,1.76861467641378e+23,30155704790039968,13.6,0.346316657368449,11.489269083326,15.6145134242544
"LaBr3",5.29,378.6175,24,2.01937591222804e+23,32942668886579836,13.6,0.3313437110585,12.5510973726549,16.6847778607056
"CsI",4.51,259.80992,8,8.36299314914535e+22,18302980938362096,13.6,0.444526042247841,6.97340269418224,10.7372413102622
"BaF2",4.89,175.3238064,16,2.68744071319684e+23,39857182467708560,13.6,0.301234580181904,15.1855145639301,19.2478085026958
"CaF2",3.186,78.0748064,16,3.93193001768109e+23,51367037547505072,13.6,0.265348026982779,19.5707485699861,23.281702362441
"NaI",3.667,149.894244,8,1.17860120884162e+23,23006925607258208,13.6,0.396486887014177,8.76559712075306,12.7466271999874
"SiGe",3.827,100.7255,8,1.83045880180093e+23,30854651052524080,13.6,0.342371655650284,11.755566347488,15.8851683725526
"CZT",5.81,305.42,30,3.43677306198022e+23,46958538356270088,13.6,0.277524185902678,17.8911183370209,21.766433329164
"SrI2",4.549,341.42894,16,1.28376795587158e+23,24355947025014684,13.6,0.385350220838081,9.27957184545899,13.3031690108742
"YAG",4.56,593.61804,96,4.44099134097744e+23,55710101664593736,13.6,0.254795144197279,21.2254481578349,24.7429687314247
"YAP",5.5,163.885588,24,4.85047319475096e+23,59084024922210720,13.6,0.247413325252024,22.5109068278659,25.8585338687884
"Stilbene",0.9707,180.25,44,1.42696517412505e+23,26135024773475392,13.6,0.372003190419125,9.95739725575993,14.0255057358313
"BaBrI",5.18,344.1355,16,1.45034461990698e+23,26419715639859980,13.6,0.369993464763095,10.0658639618851,14.1399361129953
"BaBrCl",3.944,252.681,16,1.50395639005386e+23,27066836253345192,13.6,0.365543760088459,10.3124157473421,14.3989049463958
